GEOID,POSITIVE,DEATHS,HOSP_YES
55133200902,390,,11.0
55089660303,488,9.0,36.0
55089660100,342,8.0,35.0
55089650300,526,5.0,20.0
55089630100,234,5.0,15.0
55089630202,497,6.0,29.0
55089620100,502,,27.0
55089660304,269,,11.0
55085970900,312,8.0,19.0
55085970800,215,,14.0
55085970400,258,9.0,21.0
55085971400,332,,13.0
55085970500,142,,
55085971500,507,15.0,27.0
55085971100,234,,10.0
55085971300,280,9.0,18.0
55133202002,446,,23.0
55133202202,734,39.0,82.0
55133204100,497,8.0,25.0
55133203802,587,,17.0
55133200102,516,7.0,26.0
55133201600,607,,21.0
55133201102,305,,15.0
55133201202,637,14.0,38.0
55133203804,859,11.0,43.0
55133201300,494,6.0,36.0
55133200101,473,10.0,23.0
55133201505,291,,10.0
55133201201,205,,18.0
55133201203,411,24.0,29.0
55005001002,702,27.0,50.0
55065970300,287,,15.0
55065970500,296,,20.0
55075960800,273,9.0,27.0
55075961100,648,21.0,43.0
55075961500,451,9.0,39.0
55075960600,203,,13.0
55075960900,251,,10.0
55075960700,340,,26.0
55075960200,251,,19.0
55075961000,404,5.0,22.0
55075961200,281,,11.0
55139001804,480,,17.0
55075960100,333,5.0,18.0
55065970400,255,,15.0
55065970200,451,,33.0
55065970100,228,,12.0
55079060101,352,5.0,20.0
55079186800,293,,27.0
55079185700,226,,16.0
55025002401,222,,8.0
55025002402,361,,14.0
55083101200,553,12.0,36.0
55083101000,470,13.0,30.0
55083100900,299,,17.0
55083100600,343,5.0,30.0
55083101300,1096,5.0,39.0
55083100300,277,8.0,25.0
55083100700,396,9.0,35.0
55083100800,289,,17.0
55083101100,490,,19.0
55083100500,256,,16.0
55025002500,208,,12.0
55025002601,147,,9.0
55025002602,571,,26.0
55025002603,586,,25.0
55025002700,237,,9.0
55105000600,285,,13.0
55105000100,64,,5.0
55059003001,364,,16.0
55025002800,96,,
55025002900,216,,11.0
55025003001,338,,22.0
55025003100,454,,23.0
55025003200,50,,
55025010100,80,,
55135100500,210,5.0,9.0
55135100800,464,,22.0
55135100300,260,,17.0
55135100400,329,,18.0
55135101100,463,5.0,25.0
55135100100,386,5.0,30.0
55135100700,380,17.0,35.0
55135101200,362,6.0,24.0
55135100200,211,,8.0
55135100900,605,7.0,35.0
55135101000,512,23.0,26.0
55135100600,506,28.0,32.0
55103970400,303,,20.0
55103970100,186,,14.0
55103970300,239,,17.0
55103970500,286,,15.0
55103970200,261,,15.0
55097961100,663,11.0,46.0
55097960400,679,,24.0
55097960100,415,,18.0
55097961300,476,,21.0
55097960300,350,,12.0
55097960600,519,6.0,29.0
55097961200,744,10.0,35.0
55097960200,468,5.0,32.0
55097960500,596,16.0,42.0
55097960900,305,,15.0
55097960800,470,,16.0
55097961000,327,,14.0
55025010501,287,,12.0
55009001701,558,,36.0
55009021600,711,5.0,30.0
55003940000,135,,
55003950800,267,,7.0
55079017100,508,,26.0
55079018100,144,,
55079021800,309,10.0,29.0
55079035200,293,,23.0
55079020300,691,5.0,36.0
55079020400,619,5.0,29.0
55079020500,572,,30.0
55079020600,321,,16.0
55079020700,407,,16.0
55079020800,254,,9.0
55079020900,261,6.0,18.0
55079021000,234,,15.0
55017010300,505,,19.0
55017010800,1031,7.0,48.0
55017010700,829,8.0,30.0
55017010900,509,8.0,25.0
55017010400,446,,13.0
55017011000,766,11.0,33.0
55079021100,167,,9.0
55009020704,1078,,58.0
55079050101,593,8.0,57.0
55079070100,281,,7.0
55079070300,322,,21.0
55079080100,158,,
55079080200,221,,9.0
55079080300,244,,5.0
55079021200,250,,23.0
55079021300,211,,13.0
55079021400,460,,30.0
55079021500,403,,24.0
55079021600,603,,42.0
55079080400,252,,20.0
55079090200,158,,7.0
55079090300,376,,18.0
55079090600,508,14.0,19.0
55079090700,239,,
55079090800,232,,5.0
55079090900,425,26.0,34.0
55079091000,408,,8.0
55079091100,316,,5.0
55079091300,337,,10.0
55079100700,336,,20.0
55079100800,322,,21.0
55079100900,414,,28.0
55079101000,520,5.0,39.0
55079101100,219,,15.0
55079101300,331,5.0,31.0
55049950100,225,,11.0
55049950300,246,,9.0
55049950500,458,,13.0
55049950400,500,6.0,22.0
55049950600,370,,22.0
55049950200,236,,13.0
55009021500,385,,20.0
55009021100,482,,12.0
55009940001,2444,8.0,90.0
55009001100,303,,20.0
55009000303,406,16.0,53.0
55079101400,363,,25.0
55079101500,527,6.0,34.0
55079101600,608,16.0,60.0
55079101700,448,,17.0
55079101800,310,5.0,25.0
55079101200,427,31.0,43.0
55125950200,403,9.0,22.0
55125950500,621,10.0,32.0
55139002202,306,,17.0
55139002201,529,6.0,29.0
55037190100,255,8.0,20.0
55037190200,166,,8.0
55105001202,660,,25.0
55131420401,248,,12.0
55119960600,255,,11.0
55119960500,315,10.0,14.0
55119960200,150,,7.0
55119960400,458,,16.0
55119960300,226,,8.0
55119960100,468,9.0,18.0
55057100300,323,,17.0
55133200803,445,6.0,24.0
55133203303,395,5.0,20.0
55133201704,631,,21.0
55133202102,542,,22.0
55133203902,510,,26.0
55133203704,483,,12.0
55133204501,294,,14.0
55133204004,380,,18.0
55133200804,331,,10.0
55133201703,690,6.0,41.0
55133202101,419,5.0,19.0
55133202901,440,,21.0
55133203305,546,9.0,20.0
55133203703,409,,11.0
55133203901,512,,32.0
55133204003,390,5.0,26.0
55027961400,423,,34.0
55027961800,412,5.0,34.0
55027960100,659,9.0,37.0
55027961000,520,20.0,51.0
55027961700,309,,14.0
55027960200,361,,28.0
55027961200,378,5.0,27.0
55027961300,703,8.0,52.0
55027961900,676,12.0,32.0
55027960900,536,19.0,49.0
55027961500,476,8.0,39.0
55027960400,504,7.0,33.0
55027960700,499,10.0,26.0
55027960600,444,11.0,36.0
55027960300,2069,15.0,75.0
55009020600,680,,28.0
55035000803,613,7.0,31.0
55035000900,511,,21.0
55035001101,350,,16.0
55089640200,744,7.0,32.0
55089660301,540,7.0,29.0
55079010800,277,,8.0
55079011000,340,,10.0
55079011100,200,,6.0
55079011200,296,,
55079010700,240,,
55079011300,327,5.0,10.0
55079011400,186,,
55079008600,115,,13.0
55079008700,117,,15.0
55079008800,145,,22.0
55079008400,87,,17.0
55079008500,91,,10.0
55079008900,125,5.0,11.0
55079009000,219,,22.0
55079009100,208,,23.0
55079009200,188,,12.0
55079012200,224,,18.0
55079012300,98,,8.0
55079012400,214,,11.0
55079012500,185,,9.0
55079187400,510,,13.0
55079009300,240,,9.0
55079009400,255,,9.0
55079009600,161,,23.0
55079012600,238,,13.0
55079012700,138,,7.0
55079012800,283,,16.0
55079012900,357,,10.0
55097960702,310,,11.0
55097960701,541,,25.0
55079013000,233,,5.0
55079013300,122,,
55079009700,143,,20.0
55079009800,147,,15.0
55079009900,148,,14.0
55079013700,142,,16.0
55079014100,162,,11.0
55079014300,249,,6.0
55079014400,320,,8.0
55079013600,171,,25.0
55079014600,446,,8.0
55079014700,485,,13.0
55079014800,236,,12.0
55139001000,258,7.0,13.0
55139001200,191,,8.0
55139001300,260,,16.0
55139001400,596,8.0,30.0
55139001600,293,,11.0
55139001700,1444,6.0,36.0
55079014900,158,,9.0
55139002500,507,5.0,32.0
55079004000,242,,25.0
55079004100,241,,27.0
55079004200,230,,35.0
55009021400,1047,,33.0
55079004300,452,11.0,53.0
55079004700,297,6.0,36.0
55079004800,395,8.0,47.0
55079004900,434,7.0,43.0
55079005000,501,8.0,44.0
55079005100,346,5.0,29.0
55079005200,143,,9.0
55079005300,217,,18.0
55079005500,355,,19.0
55079005600,191,,8.0
55079005700,205,,12.0
55079005800,307,,7.0
55079006000,231,,24.0
55079005400,372,7.0,23.0
55079006100,250,,24.0
55139002602,593,8.0,31.0
55139002700,254,,17.0
55079006200,207,6.0,39.0
55079006300,193,8.0,35.0
55079006400,169,,28.0
55009020504,766,,19.0
55009020203,805,,34.0
55139003600,375,,9.0
55139003701,350,,23.0
55139003200,223,,8.0
55009020703,873,6.0,30.0
55079006600,211,,32.0
55079006700,99,,10.0
55079006800,200,,31.0
55079006900,192,,23.0
55079007200,268,,10.0
55079007300,295,,9.0
55079006500,171,,39.0
55079007400,305,,
55079007500,360,,
55079007600,326,9.0,15.0
55139002800,470,6.0,28.0
55139002900,234,,18.0
55079003700,252,,17.0
55079003800,223,7.0,28.0
55079003900,294,,33.0
55079007800,576,,7.0
55079007900,135,,
55079008000,158,,10.0
55079007700,508,8.0,25.0
55079008100,117,,9.0
55079010600,137,,8.0
55077960100,194,,21.0
